URL,ID,Category,Sub Category,Daily,Weekly,Monthly,Item Cost,Deliver to Jobsite,Retrieval From Jobsite,Environmental Fee,Tax,Estimated Cost
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-40-ft-42-ft-4wd,310-4026,Aerial Work Platforms,Boom Lifts,$565 ,"$1,358 ","$2,759 ",$565.00 ,$177.50 ,$177.50 ,$11.30 ,$58.76 ,$990.06 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-45-ft-47-ft-4wd,310-4003,Aerial Work Platforms,Boom Lifts,$565 ,"$1,358 ","$2,759 ",$565.00 ,$177.50 ,$177.50 ,$11.30 ,$58.76 ,$990.06 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-60-ft-4wd,310-6026,Aerial Work Platforms,Boom Lifts,$604 ,"$1,473 ","$3,277 ",$604.00 ,$177.50 ,$177.50 ,$12.08 ,$61.86 ,"$1,032.94 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-65-ft-66-ft-4wd,310-6526,Aerial Work Platforms,Boom Lifts,$604 ,"$1,473 ","$3,277 ",$604.00 ,$177.50 ,$177.50 ,$12.08 ,$61.86 ,"$1,032.94 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-80-ft-4wd,310-8026,Aerial Work Platforms,Boom Lifts,$943 ,"$2,849 ","$5,969 ",$943.00 ,$190.00 ,$190.00 ,$18.86 ,$89.82 ,"$1,431.68 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/telescopic-boom-lift-85-ft-86-ft-4wd,310-8526,Aerial Work Platforms,Boom Lifts,"$1,040 ","$2,851 ","$6,131 ","$1,040.00 ",$190.00 ,$190.00 ,$20.80 ,$97.54 ,"$1,538.34 "
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/towable-boom-lift-30-ft-36-ft-electric-or-gas-powered-available,310-3080,Aerial Work Platforms,Boom Lifts,$498 ,"$1,213 ","$2,717 ",$498.00 ,$177.50 ,$177.50 ,$9.96 ,$53.42 ,$916.38 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/vertical-mast-boom-lift-26-ft,310-1526,Aerial Work Platforms,Boom Lifts,$344 ,$696 ,"$1,686 ",$344.00 ,$173.00 ,$173.00 ,$6.88 ,$40.80 ,$737.68 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/boom-lifts/vertical-mast-boom-lift-32-ft,310-1532,Aerial Work Platforms,Boom Lifts,$350 ,$732 ,"$2,200 ",$350.00 ,$237.17 ,$237.17 ,$7.00 ,$46.25 ,$877.59 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/vertical-mast-lift-12-ft-electric-powered,300-1512,Aerial Work Platforms,Scissor Lifts,$128 ,$258 ,$565 ,$128.00 ,$173.00 ,$173.00 ,$2.56 ,$23.60 ,$500.16 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/vertical-mast-lift-15-ft-electric-powered,300-1515,Aerial Work Platforms,Scissor Lifts,$168 ,$338 ,$798 ,$168.00 ,$173.00 ,$173.00 ,$3.36 ,$26.79 ,$544.15 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/scissor-lifts/vertical-mast-lift-20-ft-electric-powered,300-1520,Aerial Work Platforms,Scissor Lifts,$225 ,$482 ,"$1,000 ",$225.00 ,$173.00 ,$173.00 ,$4.50 ,$31.33 ,$606.83 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/aerial-work-platforms/aerial-attachments-safety/aerial-work-personal-fall-protection-system,310-1280,Aerial Work Platforms,Aerial Attachments & Safety,$26 ,$77 ,$155 ,$26.00 ,$233.17 ,$233.17 ,,$20.10 ,$512.44 
,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-compressors/air-compressor-13-cfm-gas-powered,100-2140,Air Compressors & Air Tools,Air Compressors,$81 ,$223 ,$590 ,$81.00 ,$165.00 ,$165.00 ,$1.62 ,$19.25 ,$431.87 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-compressors/air-compressor-1600-1800-cfm-tier-4-diesel-powered,100-4401,Air Compressors & Air Tools,Air Compressors,"$1,303 ","$3,100 ","$6,068 ","$1,303.00 ",$190.00 ,$190.00 ,$26.06 ,$118.49 ,"$1,827.55 "
,,,,,,,,,,,,
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tools/air-concrete-scabbler-5-head,110-1170,Air Compressors & Air Tools,Air Tools,$463 ,$833 ,"$2,156 ",$463.00 ,$165.00 ,$165.00 ,,$48.94 ,$841.94 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/tools-power-hand-surveying/saws/air-hacksaw-heavy-duty,625-0628,"Tools - Power, Hand & Surveying",Saws,$134 ,$307 ,$732 ,$134.00 ,$165.00 ,$165.00 ,,$23.26 ,$487.26 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tool-accessories/air-hammer-chipping-chisel-attachment-1-4-14,110-4135,Air Compressors & Air Tools,Air Tool Accessories,$14 ,$35 ,$71 ,$14.00 ,$165.00 ,$165.00 ,,$13.89 ,$357.89 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tool-accessories/air-hammer-chipping-chisel-attachment-1-12,110-4125,Air Compressors & Air Tools,Air Tool Accessories,$1 ,$4 ,$9 ,$1.00 ,$165.00 ,$165.00 ,,$12.87 ,$343.87 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tool-accessories/air-hammer-chipping-chisel-attachment-1-14,110-4150,Air Compressors & Air Tools,Air Tool Accessories,$17 ,$37 ,$64 ,$17.00 ,$165.00 ,$165.00 ,,$14.12 ,$361.12 
,,,,,,,,,,,,
https://www.unitedrentals.com/marketplace/equipment/air-compressors-air-tools/air-tool-accessories/air-hammer-chipping-chisel-attachment-12-oval-collar,110-4693,Air Compressors & Air Tools,Air Tool Accessories,$11 ,$28 ,$70 ,$11.00 ,$165.00 ,$165.00 ,,$13.65 ,$354.65 
,,,,,,,,,,,,
